name,name,approach_date,velocity_km_h
2063 Bacchus (1977 HB),Bacchus,1903-03-06,37400.80377564
136795 Tatsunokingo (1997 BQ),Tatsunokingo,1907-03-28,35813.00467404
189011 Ogmios (1997 NJ6),Ogmios,1909-11-25,35291.09246904
3908 Nyx (1980 PA),Nyx,1932-12-08,34977.212242199996
11500 Tomaiyowit (1989 UR),Tomaiyowit,1906-11-28,34218.71308548
5626 Melissabrucker (1991 FE),Melissabrucker,1928-06-27,34036.958577959995
15745 Yuliya (1991 PM5),Yuliya,2063-10-20,33945.82814988
326732 Nice (2003 HB6),Nice,1941-08-16,33001.011765
398188 Agni (2010 LE15),Agni,1902-05-31,32603.8765518
11284 Belenus (1990 BA),Belenus,1914-09-05,32584.582915559997
65803 Didymos (1996 GT),Didymos,1901-02-04,32322.13781724
4015 Wilson-Harrington (1979 VA),Wilson-Harrington,1919-09-30,31701.5588268
5653 Camarillo (1992 WD5),Camarillo,1916-07-19,31398.230853360004
13553 Masaakikoyama (1992 JE),Masaakikoyama,1924-10-15,31077.508974119995
7480 Norwan (1994 PC),Norwan,1901-01-21,30437.43555564
4544 Xanthus (1989 FB),Xanthus,1902-07-03,29616.69713868
3551 Verenia (1983 RD),Verenia,1983-09-16,28810.44919368
8034 Akka (1992 LR),Akka,1940-08-14,28149.196834079998
8709 Kadlu (1994 JF1),Kadlu,1905-03-31,27978.50960676
15817 Lucianotesi (1994 QC),Lucianotesi,1964-03-31,27243.302691959998
164207 Cardea (2004 GU9),Cardea,1900-10-22,27220.37491332
16064 Davidharvey (1999 RH27),Davidharvey,1900-08-18,26948.2064184
4947 Ninkasi (1988 TJ1),Ninkasi,1933-07-01,26812.4202324
3988 Huma (1986 LA),Huma,1900-07-25,26387.97047784
1943 Anteros (1973 EC),Anteros,1937-05-28,25928.31803436
14827 Hypnos (1986 JK),Hypnos,1919-07-01,25598.714490000002
887 Alinda (A918 AA),Alinda,1974-01-04,25545.50525196
2061 Anza (1960 UA),Anza,1943-09-15,24822.44018676
162011 Konnohmaru (1994 AB1),Konnohmaru,1900-01-04,24442.69980996
6050 Miwablock (1992 AE),Miwablock,2011-09-02,24146.61759324
1627 Ivar (1929 SH),Ivar,1929-07-19,23579.53354476
5797 Bivoj (1980 AA),Bivoj,1954-01-22,23566.41967968
3288 Seleucus (1982 DV),Seleucus,1982-04-12,23403.18514248
2202 Pele (1972 RA),Pele,1972-10-07,23378.14902492
101955 Bennu (1999 RQ36),Bennu,1900-06-15,23350.11595632
429733 Gilbertbaker (2011 LX10),Gilbertbaker,1977-03-24,22726.22374044
1036 Ganymed (A924 UB),Ganymed,1910-02-25,22693.9186908
3102 Krok (1981 QA),Krok,1981-08-25,22059.16244388
5143 Heracles (1991 VL),Heracles,1903-12-22,21807.3495672
217628 Lugh (1990 HA),Lugh,1902-08-02,21510.90490932
433 Eros (A898 PA),Eros,1900-12-27,20083.029075000002
4660 Nereus (1982 DB),Nereus,1900-01-29,19961.514178920002
7336 Saunders (1989 RS1),Saunders,1968-09-15,19489.791234599998
5731 Zeus (1988 VP4),Zeus,1926-01-25,19388.69041212
7358 Oze (1995 YA3),Oze,1972-09-15,18996.97276908
25143 Itokawa (1998 SF36),Itokawa,1902-04-14,18978.36509268
162173 Ryugu (1999 JU3),Ryugu,1917-02-03,18468.807225480003
